cod_cliente,cnpj,holding,nome_cliente,id_gerente_area,gerente_area,cidterritory,vendedor,endereco,uf,cidade,lat,long,estrelas_batalhas,estrelas_espaco_em_loja,estrelas_inovacao,estrelas_ponto_extra,estrelas_preco,estrelas_sortimento_prioritario,estrelas_total,sellout_ton_ytd,trend_l6m
100095825,50948371001492,IRMAOS BOA,IRMAOS BOA LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"RUA JORGE ZOLNER, 95, JUNDIAI, SP, 13201-039, Brasil",SP,JUNDIAI,-23.1842909,-46.8888062,,0.0,,,,,0.0,13.11266517,0.007201487714285573
100096072,50948371001573,IRMAOS BOA,IRMAOS BOA LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"AV DOUTOR OLAVO GUIMARAES,253, JUNDIAI, SP, 13201-760, Brasil",SP,JUNDIAI,-23.1971777,-46.8745742,,1.0,,,,,1.0,9.7716732,0.05763701400000001
100098395,50948371001654,IRMAOS BOA,IRMAOS BOA LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"R DO RETIRO,925, JUNDIAI, SP, 13209-000, Brasil",SP,JUNDIAI,-23.1869867,-46.8981357,,1.0,,,,,1.0,14.60826434,0.08456438285714277
100101340,20276483000673,REDE SHIBATA,SHIBATA COM ATAC DE PROD E GER LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"AV PEREIRA CAMPOS,291, JACAREI, SP, 12320-670, Brasil",SP,JACAREI,-23.3128546,-45.9793409,,1.0,,,,,1.0,16.27090785,0.04880546085714289
100101344,20276483000592,REDE SHIBATA,SHIBATA COM ATAC DE PROD E GER LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"R BERNARDINO DE CAMPOS,359, JACAREI, SP, 12308-010, Brasil",SP,JACAREI,-23.3019773,-45.9626805,,1.0,,,,,1.0,28.20301675,0.04083100171428565
100102507,26559110000181,REDE ESTRELA DE,CCJ COMERCIAL CAMPO JOIA LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"R RUA BARUEL,2000,GP 6 7 8 E 9, SUZANO, SP, 08675-900, Brasil",SP,SUZANO,-23.5573667,-46.3052753,,,,,,,,,
100104997,17349548000497,REDE SHIBATA,SK SUPERMERCADOS LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"AV BRASIL,1460, POA, SP, 08560-010, Brasil",SP,POA,-23.527431,-46.33035049999999,,0.5,,,,,0.5,14.18390515,0.022032103999999976
100105005,17349548000306,REDE SHIBATA,SK SUPERMERCADOS LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"AV DOUTOR ASSIS RIBEIRO,10170, SAO PAULO, SP, 03827-001, Brasil",SP,SAO PAULO,-23.4907646,-46.4638674,,0.5,,,,,0.5,27.58233602,0.03671281314285687
100105678,245454000556,REDE ESTRELA DE,J G G SUPERMERCADOS LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"AV PRESIDENTE TANCREDO NEVES,2100, SAO JOSE DOS CAMPOS, SP, 12225-142, Brasil",SP,SAO JOSE DOS CAMPOS,-23.1857693,-45.7984686,,1.0,,,,,1.0,19.31226812,-0.021768723142857143
100110539,245454000637,REDE ESTRELA DE,J G G SUPERMERCADOS LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"ROD INDIO TIBIRICA,4600, SUZANO, SP, 08620-000, Brasil",SP,SUZANO,-23.62536,-46.3277101,,1.0,,,,,1.0,21.5079228,-0.04881217714285713
100114123,5053643000389,REDE NAGUMO,COMERCIAL IDEAL MOGI LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"AVENIDA HENRIQUE EROLES,513, MOGI DAS CRUZES, SP, 08730-590, Brasil",SP,MOGI DAS CRUZES,-23.5341187,-46.1988296,0.5,,0.5,1.0,0.5,1.0,3.5,,
100114701,20276483000754,REDE SHIBATA,SHIBATA COM E ATAC DE PROD GER LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"AV CARLOS PEDROSO DA SILVEIRA,3971, TAUBATE, SP, 12043-000, Brasil",SP,TAUBATE,-23.0270201,-45.60267590000001,,0.5,,,,,0.5,21.1874198,0.06794302000000009
100119624,7705530000931,REDE NAGUMO,MIXTER AT E VJO DE GEN ALM LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"RUA LEONILDA,500, SANTO ANDRE, SP, 09230-260, Brasil",SP,SANTO ANDRE,-23.6222605,-46.526421,0.5,,0.5,1.0,0.5,1.0,3.5,,
100125012,7705530001075,REDE NAGUMO,MIXTER AT E VJO DE GEN ALM LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"AVENIDA JOAO PALMA ALEMAN,715, GUARULHOS, SP, 07077-040, Brasil",SP,GUARULHOS,-23.4376428,-46.55824579999999,,1.0,,,,,1.0,,
100126062,17349548000578,REDE SHIBATA,SK SUPERMERCADOS LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"RUA DOUTOR FREDERICO MACHADO,67, PINDAMONHANGABA, SP, 12410-040, Brasil",SP,PINDAMONHANGABA,-22.9293628,-45.4593546,,0.5,,,,,0.5,29.2838796,0.014858999428571449
100126187,4103530000469,REDE ESTRELA DE,COMERCIAL SEMAR PINDA LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"ESTRADA ANTONIO CORDEIRO ROSA,840, ITAQUAQUECETUBA, SP, 08581-020, Brasil",SP,ITAQUAQUECETUBA,-23.459621,-46.3598225,,1.0,,,,,1.0,11.44218091,-0.010372902000000002
